STT,Mã MH,Tên môn học,TC,Khoa/BM quản lý,Khoa/BM đang sử dụng,Mã MH,Tên môn học tương đương,TC,Khoa/BM quản lý,Ghi chú
1,202252,Vật lý 1,2,KHOA HỌC,,202201,Vật lý 1,2,KHOA HỌC,
2,202253,Thí nghiệm Vật lý 1,1,KHOA HỌC,,702202,Thí nghiệm Vật lý 1,1,KHOA HỌC,
3,202354,Thí nghiệm Hóa ĐC 1,1,KHOA HỌC,,202304,Thí nghiệm Hóa ĐC,1,KHOA HỌC,
4,202453,Thực hành Sinh học 1,1,KHOA HỌC,,202402,Thực hành Sinh học Đại cương,1,KHOA HỌC,
5,202452,Sinh học 1,2,KHOA HỌC,,202401,Sinh học đại cương,2,KHOA HỌC,
6,212339,Kỹ năng giao tiếp,2,MÔI TRƯỜNG & TN,,202620,Kỹ năng giao tiếp,2,KHOA HỌC,
7,214101,Tin học đại cương,3,CNTT,,214201,Nhập môn tin học,3,CNTT,Chỉ áp dụng cho SV chuyên ngành CNTT khóa 2013 trở về trước
8,214101,Tin học đại cương,3,CNTT,,214103,Tin học đại cương,3,CNTT,
9,214377,Data Warehouse,4,CNTT,,214477,Data Warehouse,4,CNTT,
10,210316,KT lạnh & UD lạnh trong CNTP,2,CN THỰC PHẨM,THỦY SẢN,206523,KT lạnh & ƯD lạnh trong CBTS,2,THỦY SẢN,Chỉ áp dụng cho SV khoa Thủy sản
11,206512,Vệ sinh & An toàn thực phẩm TS,2,THỦY SẢN,,206624,Quản lý chất lượng trong CBTS,2,THỦY SẢN,
12,206515,Xử lý chất thải trong CBTS,2,THỦY SẢN,,206525,Xử lý nước&chất thải trong CBTS,2,THỦY SẢN,
13,206505,"Nước cấp, nước thải trong CBTS",2,THỦY SẢN,,206525,Xử lý nước&chất thải trong CBTS,2,THỦY SẢN,
14,210316,Nhiệt kỹ thuật thực phẩm,2,CN THỰC PHẨM,THỦY SẢN,206522,Nhiệt kỹ thuật CB thủy sản,2,THỦY SẢN,Chỉ áp dụng cho SV khoa Thủy sản
15,203106,Sinh hóa chuyên ngành,2,CN THÚ Y,THỦY SẢN,206316,Sinh hóa chuyên ngành thủy sản,2,THỦY SẢN,Chỉ áp dụng cho SV khoa Thủy sản
16,212110,Khoa học môi trường,2,MÔI TRƯỜNG & TN,THỦY SẢN,202406,Khoa học môi trường đại cương,2,KHOA HỌC,Chỉ áp dụng cho SV khoa Thủy sản
17,206407,Anh văn chuyên ngành,2,THỦY SẢN,,206214,AV chuyên ngành NTTS,2,THỦY SẢN,
18,206417,Kinh tế sản xuất thủy sản,2,THỦY SẢN,,206471,Quản trị sản xuất thủy sản,2,THỦY SẢN,
19,203421,Dược lý lâm sàng,4,CN THÚ Y,,203111,Dược lý lâm sàng,4,CN THÚ Y,
20,203526,Công nghệ sinh học ứng dụng,2,CN THÚ Y,,203107,Công nghệ SH ứng dụng trong CN,2,CN THÚ Y,
21,203526,Công nghệ sinh học ứng dụng,2,CN THÚ Y,,203108,Công nghệ SH ứng dụng trong TY,2,CN THÚ Y,
22,203422,Thực tập xí nghiệp dược,2,CN THÚ Y,,203157,Thực tập xí nghiệp Dược,2,CN THÚ Y,
23,203914,Báo cáo chuyên đề,2,CN THÚ Y,,203158,Kỹ năng báo cáo chuyên đề,2,CN THÚ Y,
24,203301,Cơ thể đại cương,3,CN THÚ Y,,203211,Cơ thể 1,3,CN THÚ Y,
25,203302,Cơ thể học so sánh,2,CN THÚ Y,,203212,Cơ thể 2,2,CN THÚ Y,
26,203312,Chăn nuôi và môi trường,2,CN THÚ Y,,203313,Môi trường & SK vật nuôi,2,CN THÚ Y,
