STT;Mã Đăng Ký;Mã Sinh Viên;Mã Lớp Học;Thời gian đăng ký
1;Ca2_N1_DK1_2020;17130110;Ca2_N1_HD105_2020;44011
2;Ca1_N2_DK2_2020;17130113;Ca1_N2_RD222_2020;44011
3;Ca3_N2_DK1_2020;17130117;Ca3_N2_RD106_2020;44011
4;Ca4_N1_DK2_2020;17130121;Ca4_N1_CT101_2020;44011
5;Ca1_N1_DK3_2020;17130132;Ca1_N1_HD202_2020;44011
6;Ca4_N1_DK1_2020;17130136;Ca4_N1_CT101_2020;44011
7;Ca1_N1_DK4_2020;17130152;Ca1_N1_HD202_2020;44011
8;Ca3_N3_DK1_2020;16130514;Ca3_N3_TN1_2020;44011
9;Ca1_N2_DK1_2020;17130170;Ca1_N2_CT102_2020;44011
10;Ca2_N1_DK2_2020;17130172;Ca2_N1_CT303_2020;44011
11;Ca1_N2_DK2_2020;17130181;Ca1_N2_PV233_2020;44011
12;Ca2_N2_DK3_2020;17130189;Ca2_N2_TV102_2020;44011
13;Ca4_N1_DK4_2020;17130216;Ca4_N1_CT201_2020;44011
14;Ca2_N1_DK1_2020;17130218;Ca2_N1_PV111_2020;44011
15;Ca1_N2_DK1_2020;17130212;Ca1_N2_TV207_2020;44011
16;Ca3_N2_DK2_2020;17130232;Ca3_N2_PV301_2020;44011
17;Ca1_N2_DK2_2020;17130233;Ca1_N2_HD301_2020;44011
18;Ca1_N2_DK1_2020;17130236;Ca1_N2_CT102_2020;44011
19;Ca2_N1_DK2_2020;17130239;Ca2_N1_CT303_2020;44011
20;Ca1_N2_DK4_2020;17130241;Ca1_N2_PV233_2020;44011
21;Ca2_N2_DK1_2020;17130242;Ca2_N2_TV102_2020;44011
22;Ca4_N1_DK3_2020;17130248;Ca4_N1_CT201_2020;44011
23;Ca2_N3_DK1_2020;17130250;Ca2_N3_P1_2020;44011
24;Ca3_N2_DK2_2020;17130261;Ca3_N2_P2_2020;44011
25;Ca4_N2_DK4_2020;17130915;Ca4_N2_RD206_2020;44011
