Mã Lớp Học;Mã Môn Học;CA;Nhóm;Năm
1;202252;3;1;2013
2;202253;3;1;2013
3;202354;2;2;2013
4;202453;2;1;2013
5;202452;1;2;2013
6;212339;4;1;2013
7;214101;3;1;2013
8;214101;4;2;2013
9;214377;1;2;2013
10;210318;2;1;2013
11;208512;4;1;2013
12;206515;1;2;2013
13;206505;2;2;2013
14;210318;2;2;2013
15;203105;1;2;2013
16;212110;2;1;2013
17;206407;2;2;2013
18;206417;3;2;2013
19;203421;2;2;2013
20;203526;1;1;2013
21;203526;1;1;2013
22;203422;2;1;2013
23;203914;4;1;2013
24;203301;1;1;2013
25;203302;2;2;2013
26;203312;4;1;2013
27;203303;1;1;2013
28;203528;2;1;2013
29;203601;1;1;2013
30;203208;3;2;2013
31;203213;2;2;2013
32;203513;4;2;2013
33;203902;4;2;2013
34;203153;3;2;2013
35;203553;3;2;2013
36;203953;4;1;2013
37;203954;3;1;2013
38;217104;1;2;2013
39;217102;2;2;2013
40;217701;2;2;2013
41;217702;1;1;2013
42;217103;2;2;2013
43;217221;3;2;2013
44;217402;4;1;2013
45;217505;2;1;2013
46;217407;2;2;2013
47;217602;2;1;2013
48;211107;3;2;2013
49;202403;4;2;2013
50;203203;3;2;2013
51;203104;3;1;2013
52;211122;2;1;2013
53;211416;3;2;2013
54;211417;4;2;2013
55;211512;1;1;2013
56;203511;4;1;2013
57;212109;2;2;2013
58;211131;4;1;2013
59;211132;3;1;2013
60;205610;3;2;2013
61;205813;3;2;2013
62;204205;2;1;2013
63;202403;2;1;2013
64;202412;4;1;2013
65;208438;4;1;2013
66;204606;4;1;2013
67;216103;3;2;2013
68;216103;4;2;2013
69;216113;4;2;2013
70;204715;1;2;2013
71;216316;3;1;2013
72;208114;2;1;2013
73;208902;1;2;2013
74;208529;4;1;2013
75;208902;1;1;2013
76;208444;4;2;2013
77;208816;4;1;2013
78;208902;4;1;2013
79;208902;2;1;2013
80;208403;3;1;2013
81;208621;3;1;2013
82;208468;2;2;2013
83;205221;2;1;2013
84;208349;2;1;2013
85;209509;1;1;2013
86;208223;2;2;2013
87;208518;2;1;2013
88;208501;3;1;2013
89;208504;2;1;2013
90;208902;2;1;2013
91;208911;4;2;2013
92;208912;4;2;2013
93;206523;1;2;2014
94;200524;4;1;2014
95;205525;4;1;2014
96;206525;1;1;2014
97;208522;3;2;2014
98;206316;4;2;2014
99;202406;4;1;2014
100;205214;1;1;2014
101;206421;2;1;2014
102;203111;3;2;2014
103;203107;3;1;2014
104;203109;2;2;2014
105;203157;4;2;2014
106;203158;3;2;2014
107;203211;4;1;2014
108;203212;1;1;2014
109;203313;4;1;2014
110;203314;1;1;2014
111;203363;1;1;2014
112;203462;3;2;2014
113;203517;2;1;2014
114;203527;4;1;2014
115;203516;2;1;2014
116;203615;2;2;2014
117;203159;2;1;2014
118;203561;1;2;2014
119;203912;4;1;2014
120;203912;1;1;2014
121;217111;4;2;2014
122;217109;3;2;2014
123;217708;1;2;2014
124;217707;3;1;2014
125;217110;1;2;2014
126;217225;1;1;2014
127;217415;2;2;2014
128;217514;3;1;2014
129;217417;3;1;2014
130;217610;4;1;2014
131;211301;1;2;2014
132;211134;1;2;2014
133;211215;3;2;2014
134;211214;1;2;2014
135;212104;2;2;2014
136;211319;3;2;2014
137;211322;2;1;2014
138;211518;1;1;2014
139;211218;1;1;2014
140;211324;4;2;2014
141;211308;4;2;2014
142;211323;3;2;2014
143;205542;3;1;2014
144;205824;2;2;2014
145;216108;4;1;2014
146;216109;3;2;2014
147;216107;3;1;2014
148;216308;3;1;2014
149;216202;4;2;2014
150;204303;4;1;2014
151;204301;2;1;2014
152;204707;2;1;2014
153;216110;1;2;2014
154;202201;4;1;2014
155;202202;1;2;2014
156;202304;4;1;2014
157;202402;3;2;2014
158;202401;4;1;2014
159;202620;4;2;2014
160;214201;3;1;2014
161;214103;1;1;2014
162;214477;2;2;2014
163;213120;3;2;2014
164;213121;1;2;2014
165;213122;2;2;2014
166;213123;3;2;2014
167;213124;3;2;2014
168;213125;4;1;2014
169;213126;3;2;2014
170;213127;1;1;2014
171;213128;4;1;2014
172;213129;1;2;2014
173;213130;3;1;2014
174;213131;3;1;2014
175;213132;2;2;2014
176;213133;4;2;2014
177;213134;4;1;2014
178;213135;4;1;2014
179;213136;2;1;2014
180;213137;1;1;2014
181;213138;4;2;2014
182;213139;4;2;2014
183;213140;3;1;2014
184;213141;2;1;2014
185;213142;2;2;2014
186;213143;2;1;2014
187;213144;3;1;2014
188;213145;4;1;2014
189;213146;4;1;2014
190;213147;3;2;2014
191;213148;3;1;2014
192;213149;4;2;2014
193;213150;4;2;2014
194;213151;1;1;2014
195;213152;1;1;2014
196;213153;2;2;2014
197;213154;4;1;2014
198;213155;2;2;2014
199;213156;2;2;2014
200;213157;2;2;2014
201;213158;1;1;2014
202;213159;4;2;2014
203;213160;4;1;2014
204;213161;3;2;2014
205;213162;4;1;2014
206;213163;4;1;2014
207;213164;1;2;2014
208;213165;2;1;2014
209;213166;4;2;2014
210;213167;1;1;2014
