STT;Mã Lớp Học;Mã Môn Học;Năm học
1;Ca2_N1_HD105_2020;210332;2020
2;Ca1_N2_RD222_2020;210416;2020
3;Ca3_N2_RD106_2020;213650;2020
4;Ca4_N1_CT101_2020;213651;2020
5;Ca1_N1_HD202_2020;210204;2020
6;Ca3_N3_TN1_2020;210502;2020
7;Ca1_N2_CT102_2020;210362;2020
8;Ca2_N1_CT303_2020;210903;2020
9;Ca1_N2_PV233_2020;210318;2020
10;Ca2_N2_TV102_2020;210316;2020
11;Ca4_N1_CT201_2020;210110;2020
12;Ca2_N1_PV111_2020;210301;2020
13;Ca1_N2_TV207_2020;210506;2020
14;Ca3_N2_PV301_2020;210512;2020
15;Ca1_N2_HD301_2020;210513;2020
16;Ca2_N1_TN2_2020;210202;2020
17;Ca1_N1_TN3_2020;210232;2020
18;Ca3_N1_TN4_2020;210309;2020
19;Ca1_N3_TV101_2020;207233;2020
20;Ca2_N3_P1_2020;207230;2020
21;Ca3_N2_P2_2020;207126;2020
22;Ca4_N2_RD206_2020;207127;2020
23;Ca1_N1_RD203_2020;207117;2020
24;Ca2_N2_P3_2020;207629;2020
25;Ca4_N2_P4_2020;207324;2020
