STT;MALH;MA MH;NAMHOC
1;S_7_PV1_2020;202201;2020
2;S_7_PV2_2020;202202;2020
3;S_7_PV3_2020;202304;2020
4;S_7_PV4_2020;202402;2020
5;S_7_PV5_2020;202401;2020
6;S_7_PV6_2020;202620;2020
7;S_7_PV7_2020;214201;2020
8;S_7_PV8_2020;214103;2020
9;S_7_PV9_2020;214477;2020
10;S_7_PV10_2020;206523;2020
11;S_7_PV11_2020;200524;2020
12;S_7_PV12_2020;205525;2020
13;S_7_PV13_2020;206525;2020
14;S_7_PV14_2020;208522;2020
15;S_7_PV15_2020;206316;2020
16;S_7_PV16_2020;202406;2020
17;S_7_PV17_2020;205214;2020
18;S_7_PV18_2020;206421;2020
19;S_7_PV19_2020;203111;2020
20;S_7_PV20_2020;203107;2020
21;S_7_PV21_2020;203109;2020
22;S_7_PV22_2020;203157;2020
23;S_7_PV23_2020;203158;2020
24;S_7_PV24_2020;203211;2020
25;S_7_PV25_2020;203212;2020
26;S_7_PV26_2020;203313;2020
27;S_7_PV27_2020;203314;2020
